,Accuracy,Precision,Recall,F1
related,0.8073621972153348,0.811965811965812,0.9730202348238821,0.8852272727272728
request,0.8926187297348847,0.8939759036144578,0.41685393258426967,0.5685823754789272
offer,0.9952317375548351,0.0,0.0,0.0
aid_related,0.7774175090596986,0.7906008328375966,0.6198694029850746,0.6949019607843137
medical_help,0.9221819568949075,0.5,0.02696078431372549,0.05116279069767442
medical_products,0.9502193400724775,0.6363636363636364,0.052434456928838954,0.09688581314878893
search_and_rescue,0.9759679572763685,0.8333333333333334,0.038461538461538464,0.07352941176470588
security,0.9816898722105665,1.0,0.010309278350515464,0.020408163265306124
military,0.9641426664123594,0.5,0.015957446808510637,0.03092783505154639
child_alone,1.0,0.0,0.0,0.0
water,0.9492656875834445,0.8902439024390244,0.22121212121212122,0.3543689320388349
food,0.934770169750143,0.8584070796460177,0.49743589743589745,0.6298701298701299
shelter,0.9240892618729735,0.8921568627450981,0.1903765690376569,0.3137931034482758
clothing,0.9849322906732787,0.5714285714285714,0.05,0.09195402298850575
money,0.9803547587259203,0.8,0.03773584905660377,0.07207207207207207
missing_people,0.9881747091359908,0.0,0.0,0.0
refugees,0.9666221628838452,0.5,0.005714285714285714,0.01129943502824859
death,0.956704176997902,0.9285714285714286,0.10358565737051793,0.1863799283154122
other_aid,0.8744993324432577,0.8181818181818182,0.013533834586466165,0.026627218934911243
infrastructure_related,0.9355330917413694,0.25,0.002976190476190476,0.0058823529411764705
transport,0.9588022124737745,0.7647058823529411,0.1111111111111111,0.19402985074626863
buildings,0.9580392904825482,0.9259259259259259,0.102880658436214,0.18518518518518517
electricity,0.9809269502193401,0.5,0.02,0.038461538461538464
tools,0.9958039290482548,0.0,0.0,0.0
hospitals,0.989509822620637,0.0,0.0,0.0
shops,0.9940873545679955,0.0,0.0,0.0
aid_centers,0.988556170131604,0.0,0.0,0.0
other_infrastructure,0.9584207514781613,0.0,0.0,0.0
weather_related,0.8676330345222201,0.8784584980237155,0.6089041095890411,0.7192556634304206
floods,0.950028609574671,0.9606741573033708,0.4014084507042254,0.5662251655629139
storm,0.931909212283044,0.7757847533632287,0.36041666666666666,0.492176386913229
fire,0.9893190921228304,0.0,0.0,0.0
earthquake,0.9683387373641045,0.9048780487804878,0.7449799196787149,0.8171806167400881
cold,0.9801640282281137,0.625,0.04716981132075472,0.08771929824561404
other_weather,0.9506008010680908,0.8333333333333334,0.019011406844106463,0.03717472118959108
direct_report,0.8609574670989891,0.8575,0.33793103448275863,0.4848056537102474
Avg Score,0.9468020853201095,0.5694858272280501,0.167506962471658,0.2148913027428111
